record_type,form_id_number,eain_id,election_authority_id_number,state_issued
E,9712480,30220,00084896,TX
E,9712503,30221,520575,MI
E,9712549,30227,22092,OR
E,9712553,30228,37373,IL
E,9712563,30230,STA-436U6G-C-001,NC
E,9712583,30584,00085641,TX
E,9712587,30232,9932,IA
E,9712590,30233,10384,OK
E,9712669,30234,69291,FL
E,9712716,30236,473185,AR
E,9712717,30237,473184,AR
E,9712732,30238,87-2866743,WI
E,9712755,30239,C00794677,FD
E,9712757,30240,C00806836,FD
E,9712812,30241,86-2627698,NH
E,9712835,30242,C00762831,WI
E,9712871,30243,80331,FL
E,9712882,30247,1446709,CA
E,9712891,30248,FEC-1573550,FD
E,9713014,30249,00085473,TX
E,9713082,30250,C00810788,FD
E,9713083,30251,1435590,CA
E,9713113,30253,A23254,NY
E,9713115,30254,1445924,CA
E,9713123,30255,20205038075,CO
E,9713131,30256,760851,CA
E,9713144,30257,520655,MI
E,9713147,30258,1296949,CA
E,9713164,30260,1447052,CA
E,9713253,30263,1446977,CA
E,9713259,30264,1316157,CA
E,9713452,30265,88-1796846,OH
E,9713475,30271,100270,AZ
E,9713475,30272,520554,MI
E,9713475,30273,STA-T36490-C-001,NC
E,9713475,30274,20220245,PA
E,9713475,30275,00084123,TX
E,9713554,30277,C00756452,FD
E,9713579,30278,87-0921289,WA
E,9713581,30279,100707,AZ
E,9713587,30280,20200101,PA
E,9713588,30281,20210023,PA
E,9713719,30283,1447059,CA
E,9713723,30284,NC2008000115,GA
E,9713776,30289,61403,FL
E,9713779,30290,71194,FL
E,9713782,30292,37397,IL
E,9713812,30301,10842,OK
E,9713820,30303,972104,CA
E,9713821,30304,1430404,CA
E,9713866,30324,20220263,PA
E,9713880,30313,1446213,CA
E,9713887,30314,79758,FL
E,9713900,30315,1447212,CA
E,9713913,30318,C00775502,FD
E,9713917,30319,82157917,MI
E,9713927,30322,00066868,TX
E,9713935,30325,1002252,AZ
E,9713989,30331,1298154,CA
E,9713990,30332,1298155,CA
